year,type,label,title,authors,venue,book,chapter,editors,publisher,pages,isbn,doi,indexing,publicationUrl,paperFile,certificateFile
2026,conference,,AI Driven Early Warning System for Brain Stroke Risk,Sarabjeet Kaur; Shiraz Khurana; Vidushi Sharma,"2026 2nd International Conference on Cognitive Computing in Engineering, Communications, Sciences and Biomedical Health Informatics (IC3ECSBHI)",,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/11468921,,
2026,conference,,Charge Prediction in Indian Judiciary Using Bhartiya Nyaya Sanhita (BNS) Sections and Machine Learning,Shweta Maurya; Shiraz Khurana,"2026 2nd International Conference on Cognitive Computing in Engineering, Communications, Sciences and Biomedical Health Informatics (IC3ECSBHI)",,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/11468989,,
2026,conference,,Comparative Analysis of XGBoost and LightGBM Models for Glucose Metabolism Disorder Prediction Using IQR-Based Data Preprocessing,Deepak Singla; Reena Mehla; Ekta Dureja; Shipra; Shiraz Khurana,"2026 2nd International Conference on Cognitive Computing in Engineering, Communications, Sciences and Biomedical Health Informatics (IC3ECSBHI)",,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/11469171,,
2026,conference,,Prediction of Diabetes Using Supervised Learning by Implementing Convolutional Neural Network,Mrinal Paliwal; Rattan Deep Aneja; Shiraz Khurana; Shipra Raheja,"2026 2nd International Conference on Cognitive Computing in Engineering, Communications, Sciences and Biomedical Health Informatics (IC3ECSBHI)",,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/11468907,,
2025,conference,,Analysis & Modeling of Deep Learning Techniques for Flowchart to Code Generation,Akshat Johri; Saurabh Sharma; Vinay Chaudhary; Gaurav Raj; Shiraz Khurana,2025 International Conference on Networks and Cryptology (NETCRYPT),,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/xpl/conhome/11099623/proceeding,,
2024,conference,,Recent Advancements in Machine Learning Techniques for Breast Cancer Detection,Nirbhay Kumar Kashyap and Shiraz Khurana,IEEE Conference Publication,,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/10912164/,,
2024,conference,,Extensive Analysis of IoT Architecture and Access Control Mechanism,"Mohit Lalit, Sant Kumar Maurya, Shiraz Khurana and Nishant Gupta",IEEE Conference Publication,,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/10912273/,,
2024,conference,,Malware Detection in IoT Devices Using Machine Learning: A Review,Deepika Singh and Shiraz Khurana,2024 International Conference on Computational Intelligence and Computing Applications (ICCICA),,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/10585149/,,
2024,conference,,Optimizing Cloud Applications with DevOps,"Ishu Gaur, Srishti Rai, Utkarsh Tiwari and Shiraz Khurana",2024 International Conference on Computational Intelligence and Computing Applications (ICCICA),,,,IEEE,68–74,,https://doi.org/10.1109/ICCICA60014.2024.10584904,IEEE Xplore,https://ieeexplore.ieee.org/document/10584904/,,
2024,conference,,Dynamic Container Optimization for Efficient Microservices Deployment,"Ishu Gaur, Srishti Rai, Utkarsh Tiwari and Shiraz Khurana",2024 International Conference on Electrical Electronics and Computing Technologies (ICEECT),,,,IEEE,68–74,,https://doi.org/10.1109/ICEECT61758.2024,IEEE Xplore,https://ieeexplore.ieee.org/document/10739185,,
2024,conference,,Improvement of Augmented Reality in Tourism using Deep Learning,"Yasmin Chuupa Essa, Saumya Chaturvedi and Shiraz Khurana",2024 11th International Conference on Computing for Sustainable Global Development (INDIACom),,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/10498521/,,
2023,conference,,Malware Detection in Mobile Devices Using Hard Voting Ensemble Technique,Innocent Barnet Mijoya; Shiraz Khurana; Nishant Gupta; Keshav Gupta,"2023 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/10425513,,
2022,conference,,An Approach to Criminal Suspect Prediction Software using Machine Learning Classifiers,Ashima Arya; Mitu Sehgal; Neha Bhatia; Nitisha Aggarwal; Shiraz Khurana,"2022 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/10037685,,
2022,conference,,Malware detection in Android devices Using Machine Learning,Innocent Barnet Mijoya; Shiraz Khurana; Nishant Gupta,"2022 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",,,,IEEE,,,,IEEE Xplore,https://ieeexplore.ieee.org/document/10037699,,
2025,bookchapter,,The intersection of artificial intelligence and mycology: Advancements and opportunities in fungal identification,"Shiraz Khurana, Sakshi Arora",,Methods in Microbiology,Chapter 10,,Elsevier,145–168,,,Scopus,https://www.sciencedirect.com/science/chapter/bookseries/abs/pii/S0580951724000278,,
